action	reward
0	1.5752073596631015
2	0.0
2	0.0
1	1.80400593080568
1	0.4320834323714654
0	0.5080362012236993
0	0.0
0	0.41087663304602884
1	0.7799326730626841
0	0.6570798251454656
0	0.0
1	1.9332337339152303
1	0.0
1	0.020078936691635185
1	1.335632982562833
1	0.2230082374503195
0	0.10756957074907936
0	0.0
2	0.0
0	0.0
1	0.8963954587679139
1	0.5601985185318482
1	1.209055243938891
1	0.7701052270924595
1	0.0
2	0.6671267327331588
1	0.6670453585580773
0	0.41164466428589863
0	0.6821111195324032
2	0.013347826341798319
0	0.0
1	0.33231298524887387
2	0.29837102176791597
2	0.9730494543044299
1	0.2156179557057849
1	1.2707881087452197
1	1.4444186646277355
0	0.16605827930314332
0	0.0
1	0.002702397308337545
2	0.0
1	0.0
0	0.7832902321127058
1	0.15866951513241856
1	0.16678516359841766
1	0.6764514811772835
0	2.6403228490379305
0	0.0
0	0.6950179304961165
0	0.4587883616136337
2	0.8487731900493642
0	0.38753445068199543
0	0.3448357516624748
2	0.0
1	0.33432486355970414
0	0.0
1	1.2240710004607211
0	0.0
0	0.7665927372842084
0	0.0
0	0.3317896478989528
1	1.823318204572093
0	0.5007494009810771
1	1.4740940476424873
0	0.6306226850737036
1	1.4419198515895797
1	0.06494293487255764
0	0.8971602728342452
1	0.2666453534087633
1	0.0
2	0.15542942927443137
1	0.7960972291599575
2	0.8638841450825052
0	0.6093540628063583
1	0.44879931832785624
1	0.0
0	2.275749403085851
1	0.4956769633001161
0	0.5990212867698875
1	0.3464979407841775
2	0.0
1	0.0
1	0.0
0	0.0
2	0.11815596114246485
0	0.030460290373694576
1	0.9788913125931915
0	0.11080611771360072
0	0.415417701911992
1	0.08594310816913353
2	0.47040321659868733
2	0.0
0	0.43882364475024893
1	0.3816938334102967
0	0.37312105576357757
1	0.0
0	0.0
1	0.9394563590722409
1	0.6320652998560493
2	0.5123657926466441
0	1.901337886398472
0	0.2914913283999162
0	0.0
0	0.0
1	0.19390408323312325
1	0.0
0	2.707421950056615
0	0.04085436788078023
0	0.4414009584181604
0	0.7129566864460937
0	1.5103416892045116
0	0.5534950929580452
0	0.05160887810599191
2	0.062256910168645097
0	0.0
0	0.3813549143487519
0	0.6192894973806192
1	0.4872053190845136
0	0.332112734880633
2	0.0
0	1.1646226561236546
0	0.07450984820970519
1	0.51603536459098
1	0.0
0	0.0
0	0.46788419961096683
0	0.0
0	0.7835769609834354
2	0.0
1	0.0
1	0.2564892655814216
0	0.0
0	0.6488010722554153
2	0.38225913786943455
1	0.0
0	0.515845791309632
0	1.8449207892237287
0	0.5310232748611581
0	0.2362171287026199
0	0.01008259929029176
1	1.9409114617596694
0	0.0
0	1.3681028009907177
1	0.981229334810667
0	0.25867126100558413
0	0.0
1	0.0
0	0.0
0	0.8516410843541204
1	0.08078132466826471
1	0.0
0	0.2866206465651181
0	0.6084877483677624
0	0.0
1	0.8954448489565603
0	0.0
0	0.0
0	0.0
0	0.4100798831370319
0	0.6729214635425891
0	0.5938406528830684
0	0.2868817086644292
0	0.12413612845808941
2	0.3865480124017029
1	0.10881750789766398
0	1.2108307492237076
0	1.6797331372945845
1	0.44593566085515224
0	0.09592579760754105
0	0.3427275014054074
1	0.3212775000118929
0	0.08558566873666162
1	0.0
0	0.0
2	0.12930493294458267
1	0.0
0	1.4905286575135264
2	0.4574531111835166
0	0.2090601415551523
0	0.10413114966193704
2	0.0
0	0.0
0	0.3627768561207293
0	0.17459247349342588
0	0.5679862613804658
0	0.0
0	2.169474297993702
0	1.664877683956105
0	0.0
0	0.0
1	0.0
0	0.589715919613012
1	1.4684011232184446
